module_number,question_number,template_ha,template_ajami,answer_formula,var_a_min,var_a_max,var_b_min,var_b_max,distractor_1,distractor_2,distractor_3
1,1,ZaBi lambar {a}.,زَبى لمبر {a},a,1,3,0,0,a + 1,a + 2,a + 3
1,2,Wace lamba ce {a}?,واچى لمبر چه {a},a,4,6,0,0,a - 1,a + 1,a + 2
1,3,Dalibi ya nuna lambar {a}.,دالبى يا نونا لمبر {a},a,7,8,0,0,a - 2,a - 1,a + 1
1,4,ZaBi lambar {a}.,زَبى لمبر {a},a,9,10,0,0,a - 2,a - 1,a + 1
1,5,Wace lamba ce ake kira {a}?,واچى لمبر چه اكى كيرا {a},a,2,9,0,0,a - 1,a + 1,a + 2
2,1,ZaBi lambar {a} da goma.,زَبى لمبر {a} دا گوما,a + 10,1,3,0,0,a + 9,a + 11,a + 12
2,2,Wace lamba ce idan ka kara goma ga {a}?,واچى لمبر چه اذا كا كارا گوما گا {a},a + 10,4,6,0,0,a + 8,a + 9,a + 11
2,3,Dalibi ya nuna lambar {a} bayan goma.,دالبى يا نونا لمبر {a} بايان گوما,a + 10,7,8,0,0,a + 8,a + 9,a + 11
2,4,Idan {a} na cikin goma ta biyu wace lamba ce?,اذان {a} نا چكن گوما تا بيو واچى لمبر چه,a + 10,9,10,0,0,a + 7,a + 8,a + 9
2,5,Ka kara goma ga {a}.,كا كارا گوما گا {a},a + 10,1,9,0,0,a + 8,a + 9,a + 11
3,1,Idan ka kirga {a} sannan ka kara {b} menene?,اذان كا كرگا {a} ثمانن كا كارا {b} مننه,a + b,1,5,1,3,a + b + 1,a + b + 2,a + b + 3
3,2,Daga {a} ka kara {b}.,دگا {a} كا كارا {b},a + b,6,9,1,2,a + b - 1,a + b + 1,a + b + 2
3,3,Idan {a} ne ka cire {b} menene ya rage?,اذان {a} نى كا چرى {b} مننه يا راگى,a - b,5,9,1,3,a - b + 1,a - b + 2,a - b + 3
3,4,Wace lamba ce bayan ka kara {b} ga {a}?,واچى لمبر چه بايان كا كارا {b} گا {a},a + b,10,15,1,3,a + b - 1,a + b + 1,a + b + 2
3,5,Idan kana kirga daga {a} ka kara {b}.,اذان كانا كرگا دگا {a} كا كارا {b},a + b,12,18,1,2,a + b - 1,a + b + 1,a + b + 2
